Customer_ID,Gender,Age_Group,City,Country,Customer_Segment,Acquisition_Channel
357,Other,36-45,New Elizabethville,Slovakia,Regular,Referral
358,Other,26-35,Pinedamouth,Germany,Regular,Social Media
359,Female,66+,New Larryville,Germany,Regular,Referral
360,Female,26-35,Lake Amandaland,Poland,Regular,Social Media
361,Other,36-45,Jacksonville,Italy,Regular,Referral
362,Male,18-25,West Aaron,France,Regular,Referral
363,Other,66+,Angelaburgh,Italy,VIP,Organic Search
364,Other,66+,Port Ronaldfurt,Germany,Regular,Organic Search
365,Male,66+,Hughesmouth,Germany,Regular,Referral
366,Male,56-65,North Karashire,Croatia,VIP,Referral
367,Female,46-55,Brownhaven,Croatia,Regular,Email
368,Female,46-55,West Adambury,Germany,Regular,Social Media
369,Male,18-25,West Matthew,France,Regular,Referral
370,Other,18-25,Tuckermouth,Spain,Regular,Social Media
371,Male,56-65,Port Joshua,Greece,Regular,Referral
372,Male,18-25,West Christopherton,France,Regular,Referral
373,Other,36-45,Nielsenhaven,Bulgaria,Regular,Organic Search
374,Female,36-45,Markside,Spain,Regular,Paid Ads
375,Other,26-35,Aguilarhaven,Sweden,VIP,Paid Ads
376,Male,46-55,Hodgefurt,Sweden,VIP,Email
377,Female,56-65,Lake Robert,Poland,VIP,Organic Search
378,Female,66+,Lake Brandyborough,Germany,Regular,Email
379,Female,56-65,Ellisstad,Italy,VIP,Social Media
380,Female,46-55,Rodriguezport,Netherlands,Regular,Social Media
381,Other,66+,Justinborough,Germany,Regular,Paid Ads
382,Male,18-25,West Jefferychester,Italy,Regular,Social Media
383,Female,66+,Aaronbury,Germany,Regular,Email
384,Male,36-45,North Josephmouth,Denmark,VIP,Email
385,Other,36-45,New Williamtown,France,Regular,Organic Search
386,Male,56-65,Lake Justin,Spain,Regular,Paid Ads
387,Other,66+,Thomasbury,Germany,Regular,Social Media
388,Other,18-25,Josephtown,Austria,Regular,Organic Search
389,Other,56-65,South Jessicaview,Germany,Regular,Paid Ads
390,Female,56-65,Ericfurt,Czech Republic,Regular,Referral
391,Other,36-45,Troyside,Denmark,Regular,Social Media
392,Other,46-55,Angelaberg,Spain,Regular,Organic Search
393,Male,46-55,Rebeccaberg,Belgium,Regular,Referral
394,Other,26-35,New Carolburgh,France,Regular,Social Media
395,Female,46-55,Port Brandy,Portugal,VIP,Social Media
396,Male,36-45,New Chad,Spain,Regular,Organic Search
397,Male,26-35,Alexanderhaven,France,VIP,Social Media
398,Other,46-55,Warrenton,Ireland,Regular,Paid Ads
399,Other,66+,Dianefurt,Sweden,Regular,Paid Ads
400,Other,46-55,North Lindabury,Spain,Regular,Social Media
401,Male,46-55,North Marcus,Spain,Regular,Paid Ads
402,Female,18-25,Riceville,France,VIP,Referral
403,Other,66+,Estradamouth,Poland,Regular,Email
404,Male,46-55,Rodgershaven,Germany,VIP,Social Media
405,Female,36-45,Johnsonview,Greece,VIP,Organic Search
406,Male,36-45,Andersonhaven,Poland,Regular,Organic Search
407,Female,56-65,West Amandaville,Italy,Regular,Email
408,Male,26-35,West Tonyview,Belgium,Regular,Referral
409,Female,56-65,North Lori,Italy,Regular,Paid Ads
410,Other,46-55,East Brett,France,Regular,Organic Search
411,Other,36-45,East Vanessatown,Germany,Regular,Email
412,Other,56-65,Kimside,Spain,VIP,Email
413,Female,56-65,Maxwellview,France,Regular,Social Media
414,Other,56-65,Mariachester,Poland,Regular,Email
415,Male,36-45,Port Triciaside,France,Regular,Organic Search
416,Other,36-45,West James,Cyprus,Regular,Organic Search
417,Female,66+,East Robinstad,Poland,Regular,Email
418,Other,18-25,Dunlapborough,Poland,Regular,Paid Ads
419,Other,56-65,East Aaronchester,Spain,Regular,Referral
420,Other,26-35,Port Maryville,Germany,VIP,Organic Search
421,Female,36-45,Jenniferborough,France,Regular,Referral
422,Female,56-65,Adamstown,Belgium,Regular,Referral
423,Other,66+,Davidland,Romania,VIP,Paid Ads
424,Other,36-45,North Dianefort,Spain,Regular,Referral
425,Female,26-35,New Ericmouth,Spain,Regular,Email
426,Female,66+,West Jessica,Italy,Regular,Social Media
427,Male,26-35,Joshuastad,Poland,Regular,Social Media
428,Female,36-45,East Carolynmouth,France,Regular,Referral
429,Female,56-65,Allenside,France,Regular,Social Media
430,Other,66+,North Eric,France,Regular,Referral
431,Male,36-45,Lake Michealland,Sweden,VIP,Organic Search
432,Female,66+,Melaniemouth,Italy,Regular,Referral
433,Other,36-45,Kimmouth,France,Regular,Social Media
434,Other,66+,East Jose,Germany,Regular,Paid Ads
435,Other,26-35,Port Erinville,Germany,Regular,Organic Search
436,Female,66+,Coreyport,Germany,Regular,Paid Ads
437,Other,26-35,Lake Christopherborough,Germany,Regular,Referral
438,Male,36-45,West Catherine,Spain,Regular,Organic Search
439,Male,66+,Lake John,Finland,Regular,Email
440,Male,26-35,Rogersmouth,Portugal,Regular,Paid Ads
441,Male,46-55,Hernandezbury,Ireland,Regular,Paid Ads
442,Female,18-25,Gonzalezport,Ireland,VIP,Email
443,Female,36-45,Roweside,Poland,Regular,Email
444,Male,56-65,Lake Willie,Spain,Regular,Paid Ads
445,Female,26-35,Bakerbury,Sweden,Regular,Social Media
446,Male,66+,Port Jennifer,Greece,Regular,Social Media
447,Male,26-35,East Karenmouth,Poland,Regular,Referral
448,Other,36-45,Port Mary,Hungary,VIP,Organic Search
449,Male,46-55,North Valerieland,France,Regular,Paid Ads
450,Female,26-35,Wilsonland,Germany,Regular,Social Media
451,Female,56-65,Hughesland,Croatia,Regular,Organic Search
452,Female,66+,Roberthaven,France,Regular,Organic Search
453,Male,46-55,South Jamesside,Spain,Regular,Social Media
454,Other,36-45,Steeleport,Belgium,Regular,Paid Ads
455,Male,46-55,Biancaburgh,France,VIP,Email
456,Other,56-65,Rachelton,Italy,Regular,Email
457,Male,26-35,New Jessica,Sweden,Regular,Email
458,Male,56-65,North Crystalview,Romania,Regular,Social Media
459,Other,18-25,North William,Germany,VIP,Email
460,Male,56-65,Beckborough,Finland,Regular,Paid Ads
461,Other,46-55,Taylorton,Italy,VIP,Paid Ads
462,Female,18-25,Gillberg,Greece,Regular,Referral
463,Female,26-35,South Lisa,Sweden,Regular,Referral
464,Other,46-55,Amandaside,Poland,Regular,Social Media
465,Female,36-45,Lake Deniseville,Greece,Regular,Paid Ads
466,Male,46-55,Conradview,Poland,Regular,Organic Search
467,Male,18-25,South Brittanyview,Spain,Regular,Referral
468,Female,26-35,Davidmouth,Germany,Regular,Referral
469,Female,46-55,Martinside,Italy,Regular,Referral
470,Other,66+,Port Eric,Italy,Regular,Paid Ads
471,Female,18-25,East Michaelchester,Netherlands,VIP,Email
472,Male,66+,Goodmanfurt,Italy,Regular,Organic Search
473,Female,46-55,Lake Nicole,Portugal,Regular,Email
474,Female,26-35,Port Chad,Italy,Regular,Social Media
475,Male,66+,South Michael,Germany,Regular,Organic Search
476,Female,56-65,Port Cristianville,Sweden,Regular,Organic Search
477,Male,18-25,Floresmouth,France,Regular,Referral
478,Other,18-25,North Angelaland,Poland,Regular,Organic Search
479,Male,56-65,Lake Peter,Italy,Regular,Organic Search
480,Female,26-35,Hickmanburgh,Germany,Regular,Email
