Subscription_ID,Customer_ID,Start_Date,End_Date,Plan_ID,Monthly_Fee,Status,Churn_Reason_ID,Lifetime_Value
38,5273,2024-09-28,,STANDARD,19.99,Active,,325.84
39,2407,2024-04-03,2024-09-11,PREMIUM,39.99,Churned,SERVICE-01,214.61
40,5634,2025-11-05,2027-09-17,PREMIUM,39.99,Churned,SERVICE-02,907.77
41,8196,2025-01-03,2026-08-16,BASIC,9.99,Churned,SERVICE-01,196.47
42,6953,2023-01-27,2023-02-27,PREMIUM,39.99,Churned,PRICE-01,41.32
43,5562,2024-02-27,,PREMIUM,39.99,Active,,937.1
44,1823,2023-10-07,2024-11-29,BASIC,9.99,Churned,TECH-01,139.53
45,2497,2026-02-01,2026-12-28,STANDARD,19.99,Churned,COMP-01,219.89
46,4677,2026-04-18,,STANDARD,19.99,Active,,-51.97
47,77,2025-06-19,2026-07-07,BASIC,9.99,Churned,PRICE-01,127.54
48,9375,2024-11-16,,PREMIUM,39.99,Active,,586.52
49,7348,2025-03-07,,BASIC,9.99,Active,,109.56
50,4413,2023-10-13,,STANDARD,19.99,Active,,559.72
51,5891,2024-07-05,,STANDARD,19.99,Active,,382.48
52,2611,2024-02-20,,STANDARD,19.99,Active,,473.1
53,7937,2025-07-22,,STANDARD,19.99,Active,,127.94
54,3979,2023-02-26,2024-09-22,BASIC,9.99,Churned,PRICE-02,191.14
55,5461,2023-09-22,,STANDARD,19.99,Active,,573.71
56,8792,2023-03-03,,PREMIUM,39.99,Active,,1418.31
57,1549,2025-10-23,,PREMIUM,39.99,Active,,131.97
58,6842,2025-01-19,,BASIC,9.99,Active,,125.21
59,7540,2023-10-13,,STANDARD,19.99,Active,,559.72
60,1319,2023-08-16,,PREMIUM,39.99,Active,,1197.03
61,4328,2026-02-21,,BASIC,9.99,Active,,-7.33
62,2523,2026-01-11,,BASIC,9.99,Active,,6.33
63,5178,2023-12-02,,PREMIUM,39.99,Active,,1053.07
64,5641,2025-06-29,,STANDARD,19.99,Active,,143.26
65,7090,2024-05-12,2024-12-19,PREMIUM,39.99,Churned,COMP-01,294.59
66,7868,2023-06-23,,STANDARD,19.99,Active,,634.35
67,7362,2024-03-26,2025-04-15,STANDARD,19.99,Churned,PRICE-02,256.54
68,5438,2024-12-02,,PREMIUM,39.99,Active,,565.19
69,5305,2023-03-24,2024-04-25,STANDARD,19.99,Churned,PRICE-01,265.2
70,6983,2023-11-30,,STANDARD,19.99,Active,,527.74
71,8208,2024-02-08,,STANDARD,19.99,Active,,481.09
72,6568,2025-10-04,2027-04-09,STANDARD,19.99,Churned,SERVICE-02,367.82
73,1828,2023-10-12,,BASIC,9.99,Active,,280.05
74,881,2026-03-05,,BASIC,9.99,Active,,-11.32
75,4280,2025-11-03,,STANDARD,19.99,Active,,58.64
76,5580,2025-07-19,,BASIC,9.99,Active,,64.94
77,7287,2024-02-27,,PREMIUM,39.99,Active,,937.1
78,2233,2023-12-10,,PREMIUM,39.99,Active,,1042.41
79,8335,2023-06-14,,STANDARD,19.99,Active,,640.35
80,100,2023-07-28,2024-07-10,STANDARD,19.99,Churned,SERVICE-01,231.88
81,578,2026-04-05,,STANDARD,19.99,Active,,-43.31
82,6319,2026-02-23,2027-07-31,BASIC,9.99,Churned,PRICE-01,174.16
83,7003,2025-06-04,2027-04-29,PREMIUM,39.99,Churned,PRICE-01,925.1
84,1076,2023-06-26,,PREMIUM,39.99,Active,,1265.02
85,6454,2024-01-17,,PREMIUM,39.99,Active,,991.75
86,8763,2023-12-31,,PREMIUM,39.99,Active,,1014.41
87,5964,2024-08-09,,PREMIUM,39.99,Active,,718.49
88,5337,2025-11-21,,PREMIUM,39.99,Active,,93.31
89,2920,2024-09-23,,PREMIUM,39.99,Active,,658.5
90,1691,2023-03-20,,PREMIUM,39.99,Active,,1395.65
91,2487,2024-12-04,,STANDARD,19.99,Active,,281.19
92,7541,2025-02-06,2025-05-29,STANDARD,19.99,Churned,COMP-01,74.63
93,96,2024-12-29,2026-02-18,BASIC,9.99,Churned,SERVICE-02,138.53
94,7550,2024-06-18,2025-02-01,STANDARD,19.99,Churned,SERVICE-02,151.92
95,846,2024-04-22,,STANDARD,19.99,Active,,431.78
96,42,2024-08-18,,PREMIUM,39.99,Active,,706.49
97,9890,2024-01-10,,BASIC,9.99,Active,,250.08
98,4232,2025-08-26,,BASIC,9.99,Active,,52.28
99,9396,2023-01-31,,STANDARD,19.99,Active,,729.63
100,9904,2023-02-20,2024-01-29,BASIC,9.99,Churned,TECH-01,114.22
101,7864,2024-05-07,,STANDARD,19.99,Active,,421.79
102,8467,2025-07-27,,PREMIUM,39.99,Active,,249.27
103,8285,2023-03-20,,STANDARD,19.99,Active,,697.65
104,1486,2026-01-19,2027-12-31,PREMIUM,39.99,Churned,SERVICE-02,947.76
105,7527,2024-12-17,,STANDARD,19.99,Active,,272.53
106,5184,2024-03-22,,PREMIUM,39.99,Active,,905.11
107,8842,2023-11-03,,STANDARD,19.99,Active,,545.73
108,6788,2026-04-30,,PREMIUM,39.99,Active,,-119.97
109,1104,2025-02-28,,PREMIUM,39.99,Active,,447.89
110,9247,2025-08-01,,PREMIUM,39.99,Active,,242.61
111,454,2023-07-07,,STANDARD,19.99,Active,,625.02
112,1062,2023-11-18,2024-01-07,BASIC,9.99,Churned,SERVICE-01,16.65
113,5220,2024-01-06,2024-12-07,PREMIUM,39.99,Churned,PRICE-01,447.89
114,2293,2025-03-26,2026-10-21,PREMIUM,39.99,Churned,TECH-01,765.14
115,4948,2023-12-11,,STANDARD,19.99,Active,,520.41
116,8811,2023-07-27,,STANDARD,19.99,Active,,611.69
117,5260,2024-12-15,,STANDARD,19.99,Active,,273.86
118,1542,2026-05-01,,PREMIUM,39.99,Active,,-121.3
119,8452,2025-01-26,,BASIC,9.99,Active,,122.88
120,8127,2026-05-14,,PREMIUM,39.99,Active,,-138.63
121,3436,2023-12-05,2024-09-07,BASIC,9.99,Churned,SERVICE-01,92.24
122,9528,2023-02-13,,STANDARD,19.99,Active,,720.97
123,3866,2023-10-02,2024-10-01,PREMIUM,39.99,Churned,COMP-01,486.55
124,2826,2025-07-26,,BASIC,9.99,Active,,62.6
125,6059,2025-04-25,,PREMIUM,39.99,Active,,373.24
126,2968,2026-02-07,,STANDARD,19.99,Active,,-5.33
127,8192,2023-12-15,2025-02-09,BASIC,9.99,Churned,PRICE-02,140.53
128,7623,2025-01-07,2026-01-12,STANDARD,19.99,Churned,PRICE-01,246.54
129,4637,2024-08-14,,PREMIUM,39.99,Active,,711.82
130,6745,2023-06-07,,BASIC,9.99,Active,,322.34
131,897,2023-07-25,,BASIC,9.99,Active,,306.36
132,7614,2024-06-09,,STANDARD,19.99,Active,,399.8
133,546,2025-12-14,,BASIC,9.99,Active,,15.65
134,1217,2024-02-21,2024-03-24,BASIC,9.99,Churned,TECH-01,10.66
135,7940,2023-11-29,,STANDARD,19.99,Active,,528.4
136,4862,2026-02-25,,STANDARD,19.99,Active,,-17.32
137,4585,2026-04-24,,PREMIUM,39.99,Active,,-111.97
138,2974,2023-06-18,2024-08-05,PREMIUM,39.99,Churned,PRICE-02,551.86
139,4025,2023-09-30,,PREMIUM,39.99,Active,,1137.05
140,4551,2026-06-09,2028-04-22,BASIC,9.99,Churned,PRICE-02,227.44
141,9707,2026-04-05,,PREMIUM,39.99,Active,,-86.64
142,8116,2024-01-22,2025-01-24,BASIC,9.99,Churned,PRICE-02,122.54
143,1551,2025-04-08,2025-08-06,STANDARD,19.99,Churned,SERVICE-01,79.96
144,3732,2024-08-07,2024-12-12,STANDARD,19.99,Churned,SERVICE-02,84.62
145,2142,2026-04-30,,PREMIUM,39.99,Active,,-119.97
146,6248,2026-03-28,,PREMIUM,39.99,Active,,-75.98
147,4313,2025-06-08,2027-05-13,PREMIUM,39.99,Churned,SERVICE-01,938.43
148,8782,2025-08-09,,STANDARD,19.99,Active,,115.94
149,841,2024-04-06,2024-09-28,PREMIUM,39.99,Churned,TECH-01,233.28
150,4028,2023-10-18,,STANDARD,19.99,Active,,556.39
151,7711,2024-06-29,2025-04-17,BASIC,9.99,Churned,PRICE-01,97.24
152,5236,2025-08-23,2026-05-22,PREMIUM,39.99,Churned,PRICE-01,362.58
153,6646,2025-06-13,2026-03-01,BASIC,9.99,Churned,COMP-01,86.91
154,279,2023-05-22,,BASIC,9.99,Active,,327.67
155,8698,2024-08-15,,PREMIUM,39.99,Active,,710.49
156,5961,2025-02-23,,PREMIUM,39.99,Active,,454.55
157,4391,2026-05-11,,BASIC,9.99,Active,,-33.63
158,586,2023-10-19,,STANDARD,19.99,Active,,555.72
159,3695,2024-01-10,,BASIC,9.99,Active,,250.08
160,5861,2025-12-17,,STANDARD,19.99,Active,,29.32
161,6073,2023-05-21,,PREMIUM,39.99,Active,,1313.01
162,8615,2025-09-27,,BASIC,9.99,Active,,41.63
163,3439,2024-02-29,,PREMIUM,39.99,Active,,934.43
164,7189,2024-05-18,,STANDARD,19.99,Active,,414.46
165,6383,2026-01-30,,PREMIUM,39.99,Active,,0.0
166,718,2026-01-18,2027-07-02,STANDARD,19.99,Churned,PROD-01,353.16
167,3417,2024-05-21,2024-06-23,BASIC,9.99,Churned,SERVICE-02,10.99
168,2061,2024-04-29,,STANDARD,19.99,Active,,427.12
169,16,2025-12-11,,PREMIUM,39.99,Active,,66.65
170,165,2025-05-07,,STANDARD,19.99,Active,,178.58
171,6067,2025-01-23,,BASIC,9.99,Active,,123.88
172,5155,2024-11-10,,BASIC,9.99,Active,,148.52
173,6418,2025-05-24,2026-12-03,STANDARD,19.99,Churned,COMP-01,371.81
174,638,2024-12-04,,PREMIUM,39.99,Active,,562.53
175,8764,2024-10-14,2026-04-05,STANDARD,19.99,Churned,TECH-01,358.49
176,2181,2026-01-15,,BASIC,9.99,Active,,5.0
177,4743,2026-06-23,,BASIC,9.99,Active,,-47.95
178,3936,2025-04-25,,BASIC,9.99,Active,,93.24
179,3918,2025-03-01,,PREMIUM,39.99,Active,,446.56
180,1721,2024-07-25,2026-03-24,BASIC,9.99,Churned,SERVICE-02,202.13
181,1651,2024-05-09,2025-07-03,PREMIUM,39.99,Churned,TECH-01,559.86
182,3968,2024-10-14,,STANDARD,19.99,Active,,315.18
183,1490,2024-05-26,2024-11-22,STANDARD,19.99,Churned,TECH-01,119.94
184,810,2024-09-01,,BASIC,9.99,Active,,171.83
185,1783,2025-07-24,2026-04-01,BASIC,9.99,Churned,PRICE-02,83.58
186,9074,2025-08-16,,STANDARD,19.99,Active,,111.28
187,1977,2026-03-10,,STANDARD,19.99,Active,,-25.99
188,2157,2026-06-03,,PREMIUM,39.99,Active,,-165.29
189,5405,2024-05-09,,STANDARD,19.99,Active,,420.46
190,4281,2026-05-26,,PREMIUM,39.99,Active,,-154.63
191,2799,2026-05-29,,STANDARD,19.99,Active,,-79.29
192,2436,2025-03-22,,BASIC,9.99,Active,,104.56
193,914,2023-07-15,,BASIC,9.99,Active,,309.69
194,3125,2025-08-21,,BASIC,9.99,Active,,53.95
195,9890,2025-09-19,,BASIC,9.99,Active,,44.29
196,2640,2025-04-02,,STANDARD,19.99,Active,,201.9
197,5455,2025-08-19,,BASIC,9.99,Active,,54.61
198,8001,2026-05-05,,PREMIUM,39.99,Active,,-126.64
199,3823,2024-03-10,,STANDARD,19.99,Active,,460.44
200,2651,2023-03-25,,PREMIUM,39.99,Active,,1388.99
201,6237,2024-03-25,,BASIC,9.99,Active,,225.11
202,7942,2024-07-22,,STANDARD,19.99,Active,,371.15
203,4599,2023-10-22,,PREMIUM,39.99,Active,,1107.72
204,4503,2026-06-19,2027-08-07,STANDARD,19.99,Churned,SERVICE-01,275.86
205,918,2024-12-15,2026-09-16,PREMIUM,39.99,Churned,TECH-01,853.12
206,7444,2024-10-14,,STANDARD,19.99,Active,,315.18
207,5946,2024-11-14,,BASIC,9.99,Active,,147.19
208,4507,2023-09-08,,BASIC,9.99,Active,,291.38
209,5,2024-04-29,,PREMIUM,39.99,Active,,854.45
210,9789,2023-11-16,,BASIC,9.99,Active,,268.4
211,3891,2023-10-11,,STANDARD,19.99,Active,,561.05
212,7949,2023-11-04,2024-11-10,BASIC,9.99,Churned,SERVICE-02,123.88
213,7699,2024-07-08,,PREMIUM,39.99,Active,,761.14
214,1129,2023-02-27,2023-10-17,STANDARD,19.99,Churned,SERVICE-02,154.59
215,3065,2024-03-09,,PREMIUM,39.99,Active,,922.44
216,5264,2025-02-14,,PREMIUM,39.99,Active,,466.55
217,9375,2023-06-05,2024-10-12,STANDARD,19.99,Churned,PRICE-02,329.83
218,8912,2026-01-21,2026-12-24,PREMIUM,39.99,Churned,PRICE-02,449.22
219,8233,2023-06-22,,BASIC,9.99,Active,,317.35
220,7081,2023-01-06,,BASIC,9.99,Active,,372.96
221,2716,2024-02-02,2025-08-27,BASIC,9.99,Churned,TECH-01,190.48
222,3656,2023-09-03,,BASIC,9.99,Active,,293.04
223,1356,2024-10-26,,BASIC,9.99,Active,,153.51
224,5332,2026-06-11,2027-02-18,BASIC,9.99,Churned,SERVICE-01,83.92
225,9854,2025-04-13,,BASIC,9.99,Active,,97.24
226,7952,2023-08-04,,PREMIUM,39.99,Active,,1213.03
227,9518,2025-05-09,,PREMIUM,39.99,Active,,354.58
228,695,2024-04-25,,PREMIUM,39.99,Active,,859.79
229,4554,2023-11-07,,STANDARD,19.99,Active,,543.06
230,5104,2023-07-23,2024-02-27,STANDARD,19.99,Churned,COMP-01,145.93
231,2537,2023-03-22,2024-05-22,STANDARD,19.99,Churned,SERVICE-02,284.52
232,431,2025-03-15,,PREMIUM,39.99,Active,,427.89
233,9295,2024-11-20,,BASIC,9.99,Active,,145.19
234,3715,2023-08-31,,PREMIUM,39.99,Active,,1177.04
235,567,2025-06-15,,STANDARD,19.99,Active,,152.59
236,2561,2023-10-20,2024-05-30,PREMIUM,39.99,Churned,PRICE-02,297.26
237,7522,2023-07-06,,STANDARD,19.99,Active,,625.69
238,3224,2025-04-17,,STANDARD,19.99,Active,,191.9
239,3839,2024-05-04,2025-09-03,BASIC,9.99,Churned,COMP-01,162.17
240,9544,2024-06-16,2024-10-05,STANDARD,19.99,Churned,PROD-01,73.96
241,9985,2026-05-25,,BASIC,9.99,Active,,-38.3
242,529,2024-08-02,,PREMIUM,39.99,Active,,727.82
243,4391,2023-08-22,,STANDARD,19.99,Active,,594.37
244,5922,2023-10-11,,PREMIUM,39.99,Active,,1122.39
245,8336,2024-03-15,2025-04-02,PREMIUM,39.99,Churned,TECH-01,510.54
246,7816,2024-08-16,,BASIC,9.99,Active,,177.16
247,3131,2026-03-13,,BASIC,9.99,Active,,-13.99
248,74,2023-02-09,,PREMIUM,39.99,Active,,1447.64
249,1148,2023-11-11,,PREMIUM,39.99,Active,,1081.06
250,4973,2024-09-21,2025-11-28,PREMIUM,39.99,Churned,PROD-01,577.19
251,7478,2024-12-15,,STANDARD,19.99,Active,,273.86
252,5736,2025-11-30,2026-04-09,BASIC,9.99,Churned,SERVICE-01,43.29
253,8974,2024-08-16,2026-07-08,BASIC,9.99,Churned,SERVICE-02,230.1
254,5949,2025-08-14,,BASIC,9.99,Active,,56.28
255,6243,2023-04-14,,PREMIUM,39.99,Active,,1362.33
256,2284,2024-05-01,2026-04-07,STANDARD,19.99,Churned,PRICE-01,470.43
257,2830,2025-10-23,2027-10-16,STANDARD,19.99,Churned,PROD-01,481.76
258,6046,2024-05-25,,PREMIUM,39.99,Active,,819.8
259,4329,2025-09-18,,PREMIUM,39.99,Active,,178.62
260,1812,2023-10-24,,PREMIUM,39.99,Active,,1105.06
261,6029,2026-06-26,2027-01-24,STANDARD,19.99,Churned,PROD-01,141.26
262,4969,2024-05-31,,BASIC,9.99,Active,,202.8
263,6688,2025-04-30,,STANDARD,19.99,Active,,183.24
264,8314,2023-09-14,2025-05-19,BASIC,9.99,Churned,TECH-01,204.13
265,4347,2024-10-21,2026-06-25,BASIC,9.99,Churned,SERVICE-02,203.8
266,4952,2026-01-11,,STANDARD,19.99,Active,,12.66
267,3284,2023-11-30,2024-06-21,STANDARD,19.99,Churned,TECH-01,135.93
268,4736,2024-12-23,2025-06-30,STANDARD,19.99,Churned,PRICE-01,125.94
269,7048,2026-05-07,,STANDARD,19.99,Active,,-64.63
270,3686,2024-01-21,2025-11-30,BASIC,9.99,Churned,PRICE-01,226.11
271,4833,2023-02-07,,BASIC,9.99,Active,,362.3
272,962,2026-01-09,,PREMIUM,39.99,Active,,27.99
273,3404,2023-02-19,,STANDARD,19.99,Active,,716.97
274,2448,2026-06-26,,PREMIUM,39.99,Active,,-195.95
275,1963,2023-10-09,,BASIC,9.99,Active,,281.05
276,5492,2024-12-21,2026-03-17,PREMIUM,39.99,Churned,COMP-01,601.18
277,4055,2023-06-07,2025-03-31,PREMIUM,39.99,Churned,PROD-01,883.78
278,5983,2025-11-26,2026-03-15,BASIC,9.99,Churned,PROD-01,36.3
279,3053,2025-08-13,2026-02-26,BASIC,9.99,Churned,PROD-01,65.6
280,6584,2024-02-28,,STANDARD,19.99,Active,,467.77
281,4616,2023-03-28,,STANDARD,19.99,Active,,692.32
282,1012,2025-02-14,,STANDARD,19.99,Active,,233.22
283,6248,2024-03-10,,STANDARD,19.99,Active,,460.44
284,8295,2023-08-21,,STANDARD,19.99,Active,,595.04
285,3814,2023-03-31,,BASIC,9.99,Active,,344.99
286,491,2023-10-15,,STANDARD,19.99,Active,,558.39
287,652,2025-04-07,,PREMIUM,39.99,Active,,397.23
288,601,2026-04-17,,BASIC,9.99,Active,,-25.64
289,4752,2025-04-10,2026-05-25,PREMIUM,39.99,Churned,SERVICE-02,546.53
290,9929,2023-01-30,,PREMIUM,39.99,Active,,1460.97
291,2111,2025-06-15,,BASIC,9.99,Active,,76.26
292,8344,2024-05-16,,STANDARD,19.99,Active,,415.79
293,9608,2024-12-23,,PREMIUM,39.99,Active,,537.2
294,4579,2023-03-26,,STANDARD,19.99,Active,,693.65
295,896,2025-04-18,2025-07-20,PREMIUM,39.99,Churned,SERVICE-02,123.97
296,2778,2025-07-26,,PREMIUM,39.99,Active,,250.6
297,1170,2023-08-17,2024-07-12,PREMIUM,39.99,Churned,COMP-01,439.89
298,2835,2023-08-27,,BASIC,9.99,Active,,295.37
299,9846,2026-03-15,,BASIC,9.99,Active,,-14.65
300,6788,2023-11-11,,STANDARD,19.99,Active,,540.4
301,4341,2025-07-06,,BASIC,9.99,Active,,69.26
302,967,2025-09-26,,STANDARD,19.99,Active,,83.96
303,4498,2023-03-11,2023-06-25,PREMIUM,39.99,Churned,PRICE-01,141.3
304,5702,2024-11-04,2025-07-14,STANDARD,19.99,Churned,PRICE-01,167.92
305,5971,2026-04-22,,PREMIUM,39.99,Active,,-109.31
306,7467,2025-04-06,,PREMIUM,39.99,Active,,398.57
307,6342,2025-04-17,,STANDARD,19.99,Active,,191.9
308,7056,2023-03-03,2024-04-02,STANDARD,19.99,Churned,PROD-01,263.87
309,1897,2024-06-26,,STANDARD,19.99,Active,,388.47
310,8559,2023-08-27,,BASIC,9.99,Active,,295.37
311,1180,2023-02-16,,STANDARD,19.99,Active,,718.97
312,9287,2026-05-13,,STANDARD,19.99,Active,,-68.63
313,2156,2023-07-03,,STANDARD,19.99,Active,,627.69
314,2558,2025-06-15,,BASIC,9.99,Active,,76.26
315,3774,2024-01-27,,PREMIUM,39.99,Active,,978.42
316,1716,2024-07-20,,STANDARD,19.99,Active,,372.48
317,1299,2024-05-29,,PREMIUM,39.99,Active,,814.46
318,7715,2025-08-10,,BASIC,9.99,Active,,57.61
319,6059,2024-09-07,,PREMIUM,39.99,Active,,679.83
320,1833,2026-04-15,,BASIC,9.99,Active,,-24.98
321,6912,2026-03-28,,STANDARD,19.99,Active,,-37.98
322,4174,2025-10-20,2026-05-29,PREMIUM,39.99,Churned,SERVICE-01,294.59
323,5698,2024-02-16,,BASIC,9.99,Active,,237.76
324,591,2023-11-30,,STANDARD,19.99,Active,,527.74
325,1219,2023-08-20,,BASIC,9.99,Active,,297.7
326,7188,2026-01-03,,BASIC,9.99,Active,,8.99
327,522,2024-07-04,,PREMIUM,39.99,Active,,766.48
328,5017,2024-10-22,2025-05-21,STANDARD,19.99,Churned,SERVICE-01,140.6
329,328,2023-11-18,,PREMIUM,39.99,Active,,1071.73
330,565,2024-03-10,,PREMIUM,39.99,Active,,921.1
331,9716,2024-02-01,,BASIC,9.99,Active,,242.76
332,3773,2024-12-03,,BASIC,9.99,Active,,140.86
333,1625,2025-01-27,,PREMIUM,39.99,Active,,490.54
334,9541,2025-12-13,,PREMIUM,39.99,Active,,63.98
335,9423,2023-09-08,2025-06-03,BASIC,9.99,Churned,PRICE-01,211.12
336,4406,2025-09-30,,BASIC,9.99,Active,,40.63
337,9750,2026-06-16,,PREMIUM,39.99,Active,,-182.62
338,1873,2026-03-05,2028-01-03,BASIC,9.99,Churned,SERVICE-02,222.78
339,1813,2023-02-23,,PREMIUM,39.99,Active,,1428.98
340,3027,2023-03-08,,PREMIUM,39.99,Active,,1411.65
341,5012,2026-01-21,,PREMIUM,39.99,Active,,12.0
342,9686,2025-07-18,,STANDARD,19.99,Active,,130.6
343,5832,2026-03-16,,STANDARD,19.99,Active,,-29.98
344,4881,2024-04-07,,PREMIUM,39.99,Active,,883.78
345,721,2024-10-06,,BASIC,9.99,Active,,160.17
346,4270,2024-11-04,,PREMIUM,39.99,Active,,602.52
347,3979,2024-03-01,2025-06-17,PREMIUM,39.99,Churned,PROD-01,630.51
348,9753,2025-07-02,2026-05-13,STANDARD,19.99,Churned,COMP-01,209.89
349,1025,2024-11-12,,BASIC,9.99,Active,,147.85
350,1149,2024-07-28,,BASIC,9.99,Active,,183.48
351,2223,2023-06-04,2023-12-02,PREMIUM,39.99,Churned,TECH-01,241.27
352,4442,2025-03-31,,BASIC,9.99,Active,,101.56
353,6981,2023-04-15,,STANDARD,19.99,Active,,680.33
354,8465,2023-04-04,,BASIC,9.99,Active,,343.66
355,7464,2026-04-15,,STANDARD,19.99,Active,,-49.97
356,190,2023-11-04,,STANDARD,19.99,Active,,545.06
357,2208,2023-05-28,2024-11-23,STANDARD,19.99,Churned,COMP-01,363.15
358,3656,2026-05-05,,PREMIUM,39.99,Active,,-126.64
359,3588,2025-02-02,2025-06-11,BASIC,9.99,Churned,SERVICE-01,42.96
360,7445,2024-11-05,,PREMIUM,39.99,Active,,601.18
361,9207,2025-08-04,,BASIC,9.99,Active,,59.61
362,7083,2026-01-05,,STANDARD,19.99,Active,,16.66
363,6347,2024-12-11,,PREMIUM,39.99,Active,,553.2
364,1350,2024-09-05,2025-03-08,STANDARD,19.99,Churned,COMP-01,122.61
365,5332,2024-08-27,,PREMIUM,39.99,Active,,694.49
366,2301,2024-07-13,,STANDARD,19.99,Active,,377.14
367,6573,2026-01-10,2027-09-07,BASIC,9.99,Churned,TECH-01,201.47
368,6857,2023-05-04,,PREMIUM,39.99,Active,,1335.67
369,1809,2025-04-12,2025-06-01,BASIC,9.99,Churned,COMP-01,16.65
370,4438,2024-07-04,,BASIC,9.99,Active,,191.48
371,442,2024-03-14,,PREMIUM,39.99,Active,,915.77
372,7824,2023-04-19,2023-12-26,STANDARD,19.99,Churned,TECH-01,167.25
373,6751,2023-05-04,2024-08-03,BASIC,9.99,Churned,PRICE-02,152.18
374,3388,2024-09-19,2026-06-20,BASIC,9.99,Churned,PROD-01,212.79
375,5677,2026-05-27,,BASIC,9.99,Active,,-38.96
376,6626,2024-11-14,2026-02-25,PREMIUM,39.99,Churned,PRICE-01,623.84
377,5577,2026-02-22,,STANDARD,19.99,Active,,-15.33
378,435,2023-04-10,,PREMIUM,39.99,Active,,1367.66
379,798,2023-09-03,,PREMIUM,39.99,Active,,1173.04
380,8985,2023-11-16,,BASIC,9.99,Active,,268.4
381,3061,2025-09-21,,STANDARD,19.99,Active,,87.29
382,9676,2023-06-20,2024-07-13,PREMIUM,39.99,Churned,SERVICE-01,518.54
383,7063,2023-05-17,,STANDARD,19.99,Active,,659.0
384,1276,2025-07-25,,PREMIUM,39.99,Active,,251.94
385,4718,2024-02-26,2024-12-19,BASIC,9.99,Churned,PRICE-02,98.9
386,6845,2024-06-15,,BASIC,9.99,Active,,197.8
387,6092,2025-01-10,,BASIC,9.99,Active,,128.21
388,9769,2024-10-22,2026-07-12,PREMIUM,39.99,Churned,COMP-01,837.12
389,694,2025-04-02,,STANDARD,19.99,Active,,201.9
390,9524,2025-05-01,2026-10-29,BASIC,9.99,Churned,PRICE-01,181.82
391,5088,2023-12-23,2024-08-24,PREMIUM,39.99,Churned,SERVICE-02,326.58
392,8083,2024-12-10,,PREMIUM,39.99,Active,,554.53
393,236,2025-01-15,,BASIC,9.99,Active,,126.54
394,1535,2023-03-21,,STANDARD,19.99,Active,,696.98
395,9233,2026-03-03,,PREMIUM,39.99,Active,,-42.66
396,1949,2025-01-07,,STANDARD,19.99,Active,,258.54
397,5454,2024-11-13,,STANDARD,19.99,Active,,295.19
398,666,2023-03-17,,STANDARD,19.99,Active,,699.65
399,8089,2025-01-08,,STANDARD,19.99,Active,,257.87
400,3262,2026-04-25,2027-04-30,PREMIUM,39.99,Churned,TECH-01,493.21
